,STATION,CensusYear,Year,Month,DATE,Nitrogen_Kjeldahl,TotalSuspendedSolids,Nitrate,Conductivity,DissolvedOxygen,pH,TotalNitrogen,Nitrite,TotalPhosphorus,Chloride,10mLandCover_AgriculturalExtraction,10mLandCover_Anthropogenic,10mLandCover_AnthropogenicNatural,10mLandCover_Natural,Latitude,Longitude,250mLandCover_Agricultural,250mLandCover_Anthropogenic,250mLandCover_Natural,Total Rain (mm) 0day Total,Total Rain (mm) -7day Total,Total Rain (mm) -56day Total,Total Rain (mm) -3day Total,Total Rain (mm) -28day Total,Total Rain (mm) -1day Total,Total Rain (mm) -14day Total
4526,6008500302,2006,2008,7,7-22-2008,1.0,62.0,0.87,676.0,9.0,8.0,,0.057,0.14,92.4,0.0,0.0,0.0,0.0,43.80312626393,-79.39687998153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375,6008500302,2016,2020,1,1-21-2020,0.81,3.0,1.22,2187.0,14.78,8.17,,0.0279999999999999,0.0447,484.0,0.0,0.0,0.0,0.0,43.80312626393,-79.39687998153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3524,6008301802,2011,2009,7,7-20-2009,0.34,2.2,0.4529999999999999,590.0,23.71,8.0,,0.0069999999999999,0.022,55.6,0.0,0.0,0.0,0.0,43.92614413905,-79.80320748191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2629,6008300202,2006,2006,6,6-21-2006,1.406,14.0,0.28,851.0,12.0,8.0,,0.02,0.12,155.0,0.0,0.0,0.0,0.0,43.73686613887,-79.62831823174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7585,PT001WM,2016,2017,11,11-21-2017,0.95,2.0,1.44,1326.0,13.53,8.31,2.401,0.011,0.0163,228.0,119253.0,60069.0,4232.0,69163.0,43.803681746598656,-79.11029851493568,255.0,90.0,56.0,0.4,18.1,119.6,15.7,60.4,0.4,20.2
4123,6008310302,2006,2007,8,8-27-2007,0.82,86.7,0.188,772.0,18.14,8.0,,0.008,0.1169999999999999,114.0,0.0,0.0,0.0,0.0,43.75823701389,-79.67843885679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7018,6010700202,2016,2014,8,8-19-2014,0.53,5.9,0.134,777.0,11.71,8.27,,0.004,0.027,107.0,171066.0,136661.0,53361.0,123321.0,43.848318888970006,-78.99885435616,337.0,62.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2766,6008300402,2016,2018,2,2-20-2018,2.55,316.0,0.71,744.0,18.24,8.77,,0.026,0.531,340.0,0.0,0.0,0.0,0.0,43.79806763892999,-79.5810577317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7508,FB003WM,2016,2016,6,06-21-16,0.73,2.0,1.25,2740.0,8.53,8.03,2.06,0.08,0.0258,618.0,4119.0,42727.0,3347.0,26505.0,43.82644595388573,-79.0888364051583,15.0,80.0,26.0,1.2,1.7999999999999998,56.8,1.7999999999999998,28.000000000000004,1.7999999999999998,9.8
3895,6008301902,2001,2001,9,9-20-2001,0.88,39.5,1.14,,,,,0.068,0.096,79.4,0.0,0.0,0.0,0.0,43.65143463879001,-79.49132860662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656,17002113702,2011,2010,6,2010-06-16,0.78,,1.94,577.0,9.56,8.24,2.736,0.016,0.072,37.9,0.0,0.0,0.0,0.0,44.1318756391999,-78.828877731,384.0,0.0,181.0,14.2,31.3,186.7,15.8,114.1,15.8,102.5
4818,6008501402,2006,2005,10,10-4-2005,2.76,6.3,1.64,,,,,0.8859999999999999,0.138,191.0,0.0,0.0,0.0,0.0,43.68847163883,-79.36213573149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969,6011200302,2011,2009,6,2009-06-24,0.63,,1.48,965.0,9.42,8.28,2.143,0.033,0.04,141.0,392423.0,434927.0,19062.0,232160.0,43.88073326399999,-78.821483231,1037.0,532.0,150.0,0.0,31.2,201.6,0.0,129.6,0.0,39.8
1843,6008000602,2016,2016,11,11-23-2016,,1.8,,1588.0,13.78,8.47,0.58,0.0069999999999999,0.156,369.0,0.0,0.0,0.0,0.0,43.60505563875,-79.55975310668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3024,6008300902,2006,2008,4,4-24-2008,0.33,10.2,0.091,541.0,24.05,8.0,,0.003,0.027,28.5,0.0,0.0,0.0,0.0,43.88810001401,-79.71795598183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3151,6008301202,2016,2020,10,10-22-2020,1.38,53.0,0.46,658.0,28.12,7.71,,0.039,0.165,178.0,0.0,0.0,0.0,0.0,43.67484451381,-79.50532260663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7451,East 7,2016,2020,7,07-21-20,,4.1,,,,,,,0.015,10.2,641.0,0.0,0.0,4446.0,44.04201693968772,-78.74628078125316,0.0,0.0,5.0,0.0,34.0,91.4,32.4,61.8,0.0,56.8
3386,6008301802,2006,2004,11,11-22-2004,0.26,2.8,0.603,573.0,23.99,9.0,,0.008,0.018,46.0,0.0,0.0,0.0,0.0,43.92614413905,-79.80320748191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7685,West 12,2016,2017,6,06-21-17,,8.4,,,,,,,0.069,238.0,5809.0,52578.0,3658.0,11079.0,43.863643975914606,-78.89203961905126,0.0,114.0,0.0,0.0,44.6,253.9,32.6,125.6,16.6,48.8
6093,6009701802,2006,2008,2,2-28-2008,0.08,2.0,2.29,865.0,16.0,8.0,,0.0069999999999999,0.04,88.4,0.0,0.0,0.0,0.0,43.89673301402001,-79.32307035646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5046,6008501402,2011,2009,8,8-18-2009,0.925,7.3,0.01,835.0,18.12,8.0,,0.001,0.27,264.0,0.0,0.0,0.0,0.0,43.68847163883,-79.36213573149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1211,6011600102,2011,2012,11,2012-11-08,0.25,,1.09,551.0,18.53,8.31,1.342,0.002,0.01,29.7,367085.0,157049.0,4561.0,364490.0,43.894292014,-78.6750209809,870.0,63.0,498.0,0.0,2.4,144.70000000000002,0.0,94.8,0.0,54.9
6744,6010402902,2016,2019,7,7-22-2019,0.44,2.0,0.21,516.0,9.5,8.39,0.652,0.002,0.0202,19.9,116047.0,21210.0,5290.0,92254.0,43.95051113741628,-79.0852601060121,336.0,0.0,35.0,0.0,152.8,325.1,96.0,231.8,0.0,152.8
1428,6011600602,2011,2012,4,2012-04-25,0.22,,0.035,322.0,9.01,8.01,0.257,0.002,0.012,0.2,2607.0,243.0,0.0,7926.0,44.04234326409991,-78.7380453558999,2.0,0.0,11.0,0.7,26.1,72.7,15.9,29.6,3.3,26.1
7229,Central 4,2016,2018,6,2018-06-25,,2.9,,,,,,,0.009,39.8,223277.0,46421.0,4310.0,113210.0,43.95334948297207,-78.88838389172248,603.0,2.0,16.0,0.0,22.0,136.0,15.2,36.2,13.8,29.200000000000003
426,6010400802,2016,2015,6,2015-06-22,,,0.02,620.0,13.63,8.32,0.36,0.004,0.024,38.1,89721.0,18703.0,964.0,69586.0,43.9614470141,-79.1256539813,207.0,0.0,73.0,23.0,36.2,183.6,23.0,160.2,23.0,88.5
4094,6008310302,2006,2008,7,7-21-2008,3.75,71.3,0.69,689.0,18.1,8.0,,0.032,0.163,99.2,0.0,0.0,0.0,0.0,43.75823701389,-79.67843885679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5574,6009701102,2006,2004,10,10-19-2004,0.49,2.5,0.3279999999999999,851.0,23.78,9.0,,0.008,0.02,150.0,0.0,0.0,0.0,0.0,43.81085851394,-79.15978098130999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4271,6008310402,2016,2017,4,4-27-2017,,11.1,,677.0,11.02,8.25,0.48,0.006,0.035,70.5,0.0,0.0,0.0,0.0,43.92418126404,-79.83452048194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1923,6008000602,2016,2018,5,5-16-2018,,18.5,,1699.0,10.68,8.16,0.96,0.032,0.0687,411.0,0.0,0.0,0.0,0.0,43.60505563875,-79.55975310668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6223,6009701802,2001,2002,9,9-26-2002,0.27,6.3,0.304,,8.69,,,0.004,0.012,40.8,0.0,0.0,0.0,0.0,43.89673301402001,-79.32307035646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4689,6008500402,2006,2008,4,4-28-2008,,109.0,1.01,1621.0,10.0,8.0,,0.055,0.21,375.0,0.0,0.0,0.0,0.0,43.80386488892999,-79.48313110660999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3395,6008301802,2001,2003,11,11-25-2003,0.42,4.4,0.436,603.0,16.47,8.0,,0.011,0.022,47.1,0.0,0.0,0.0,0.0,43.92614413905,-79.80320748191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7395,East 3,2016,2018,7,2018-07-17,,6.7,,,,,,,0.033,242.0,40614.0,28302.0,728.0,19573.0,43.873201108362416,-78.7657987544681,90.0,0.0,52.0,0.0,5.1,55.5,5.1,34.5,4.1,12.3
404,6010400802,2011,2012,8,2012-08-22,0.23,,0.038,545.0,12.43,8.29,0.272,0.004,0.006,19.1,89721.0,18703.0,964.0,69586.0,43.9614470141,-79.1256539813,182.0,0.0,98.0,0.0,3.6,192.0,0.0,143.2,0.0,46.60000000000001
491,6010800102,2006,2004,9,2004-09-21,0.55,,0.449,685.0,1.42,8.34,1.008,0.009,0.019,73.3,416405.0,287143.0,60195.0,318937.0,43.8566716389999,-78.96067785609999,975.0,195.0,555.0,0.0,1.0,138.0,0.0,77.39999999999999,0.0,45.8
7167,Central 11,2016,2018,10,2018-10-16,,2.6,,,,,,,0.039,367.0,10997.0,59416.0,6264.0,19256.0,43.88410293449909,-78.87568294273531,8.0,72.0,75.0,0.0,4.2,142.8,3.2,83.2,2.2,25.6
3494,6008301802,2011,2009,5,5-25-2009,0.47,6.0,0.659,669.0,22.19,8.0,,0.008,0.023,55.7,0.0,0.0,0.0,0.0,43.92614413905,-79.80320748191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6971,6010700202,2016,2014,4,4-22-2014,0.48,8.2,1.01,581.0,13.13,8.05,,0.009,0.0289999999999999,202.0,171066.0,136661.0,53361.0,123321.0,43.848318888970006,-78.99885435616,337.0,62.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,6011100302,2011,2010,6,2010-06-09,0.26,,0.825,571.0,,8.39,1.095,0.01,0.014,31.2,227321.0,67450.0,8582.0,94473.0,43.9462080141,-78.9036611061,609.0,1.0,26.0,3.4,63.6,125.10000000000002,3.8,80.0,3.4,72.0
2542,6008300202,2011,2012,12,12-10-2012,0.82,22.2,0.794,824.0,17.43,7.91,,0.011,0.083,103.0,0.0,0.0,0.0,0.0,43.73686613887,-79.62831823174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3673,6008301902,2001,2001,12,12-13-2001,0.58,23.5,1.05,,,,,0.043,0.052,101.0,0.0,0.0,0.0,0.0,43.65143463879001,-79.49132860662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4943,6008501402,2016,2017,4,4-27-2017,,3.1,,1964.0,13.97,8.36,2.13,0.05,0.187,440.0,0.0,0.0,0.0,0.0,43.68847163883,-79.36213573149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2790,6008300402,2016,2017,3,3-21-2017,0.32,5.0,0.55,1342.0,14.43,8.11,,0.011,0.0178,243.0,0.0,0.0,0.0,0.0,43.79806763892999,-79.5810577317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7284,Central 8,2016,2019,6,06-18-19,,2.2,,,,,,,0.019,332.0,118628.0,232489.0,12280.0,67058.0,43.888242761188536,-78.82488013103743,292.0,347.0,47.0,0.0,7.899999999999999,192.1,1.0,80.4,0.0,40.6
3515,6008301802,2016,2020,6,6-25-2020,0.57,12.0,0.2,599.0,8.98,8.24,,0.008,0.039,57.3,0.0,0.0,0.0,0.0,43.92614413905,-79.80320748191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6862,6010403702,2016,2017,9,9-18-2017,0.46,2.0,0.34,753.0,13.38,8.41,,0.011,0.0235,82.5,0.0,0.0,0.0,0.0,43.93716151406,-79.20343035635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7603,PT001WM,2016,2019,5,5-14-2019,1.09,3.0,2.04,957.0,14.63,9.02,3.141,0.011,0.0299,139.0,119253.0,60069.0,4232.0,69163.0,43.803681746598656,-79.11029851493568,261.0,90.0,50.0,0.3,36.0,236.0,16.2,176.00000000000003,5.8,72.4
5807,6009701302,2011,2012,1,1-24-2012,0.85,113.0,1.13,897.0,19.7,8.21,,0.031,0.152,194.0,0.0,0.0,0.0,0.0,43.81368113894,-79.1567646063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4969,6008501402,2016,2020,5,5-28-2020,1.48,7.3,1.55,1756.0,8.81,8.01,,0.166,0.148,396.0,0.0,0.0,0.0,0.0,43.68847163883,-79.36213573149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788,600010708,2006,2006,11,2006-11-21,0.2133333333333333,0.75,,315.6666666666667,,8.35,0.8290000000000001,,0.0106666666666666,25.33333333333333,3767421.0,2767176.0,375275.0,3109815.0,43.79361,-79.085,8976.0,2640.0,3872.0,0.0,27.8,209.1,0.0,67.19999999999999,0.0,47.4
5466,6009700702,2016,2017,12,12-12-2017,0.65,2.0,1.04,923.0,14.93,8.54,,0.011,0.0135,115.0,0.0,0.0,0.0,0.0,43.85933038898,-79.20441685635001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,6008000702,2006,2005,7,7-19-2005,0.61,4.8,0.929,802.0,23.52,8.0,,0.021,0.073,166.0,0.0,0.0,0.0,0.0,43.67833163882,-79.67950823179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2145,6008000702,2006,2006,4,4-28-2006,1.143,2.0,2.46,,,,,0.0289999999999999,0.04,170.0,0.0,0.0,0.0,0.0,43.67833163882,-79.67950823179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4505,6008500302,2006,2007,6,6-19-2007,0.88,45.0,1.58,1075.0,6.0,8.0,,0.181,0.17,177.0,0.0,0.0,0.0,0.0,43.80312626393,-79.39687998153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6156,6009701802,2016,2020,6,6-22-2020,0.53,6.4,0.4,729.0,7.5,7.95,,0.026,0.046,70.9,0.0,0.0,0.0,0.0,43.89673301402001,-79.32307035646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6760,6010403702,2011,2011,1,1-26-2011,0.36,8.8,1.25,1899.0,14.61,8.19,,0.013,0.0279999999999999,468.0,0.0,0.0,0.0,0.0,43.93716151406,-79.20343035635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3246,6008301202,2006,2004,4,4-28-2004,,6.0,0.75,,,,,0.01,0.01,181.0,0.0,0.0,0.0,0.0,43.67484451381,-79.50532260663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841,6008000602,2016,2017,11,11-22-2017,,4.1,,1074.0,13.38,8.35,0.66,0.013,0.2658,202.0,0.0,0.0,0.0,0.0,43.60505563875,-79.55975310668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5047,6008501402,2001,2000,8,8-2-2000,0.88,413.0,0.8590000000000001,,,,,0.114,0.236,67.2,0.0,0.0,0.0,0.0,43.68847163883,-79.36213573149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,6009700302,2016,2016,7,7-18-2016,0.99,13.0,0.07,144.8,9.14,7.84,,0.011,0.102,302.0,0.0,0.0,0.0,0.0,43.85845638898,-79.23325335638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,6011600102,2011,2012,8,2012-08-15,0.24,,0.531,454.0,10.54,8.36,0.78,0.009,0.012,20.6,367085.0,157049.0,4561.0,364490.0,43.894292014,-78.6750209809,870.0,63.0,498.0,0.4,35.2,141.4,3.0,96.0,2.4,45.0
974,6011200302,2011,2010,5,2010-05-04,0.72,,0.949,968.0,,8.16,1.703,0.034,0.023,170.0,392423.0,434927.0,19062.0,232160.0,43.88073326399999,-78.821483231,1024.0,532.0,163.0,1.0,9.3,88.80000000000001,9.3,31.1,1.0,9.3
474,6010400802,2016,2019,11,2019-11-25,,,0.226,724.0,13.51,8.36,0.5,0.002,0.0266,72.0,89721.0,18703.0,964.0,69586.0,43.9614470141,-79.1256539813,260.0,0.0,20.0,1.2,5.4,144.59999999999997,1.2,48.8,1.2,5.4
3311,6008301202,2011,2011,8,8-24-2011,0.89,8.2,1.16,1420.0,8.41,8.09,,0.067,0.061,307.0,0.0,0.0,0.0,0.0,43.67484451381,-79.50532260663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,6010400102,2011,2010,9,2010-09-21,0.37,,0.385,497.0,11.4,8.36,0.765,0.01,0.02,38.4,1145970.0,421443.0,96985.0,1167581.0,43.839189888999904,-79.03983860619991,2620.0,386.0,1409.0,10.0,32.8,113.6,10.8,59.8,10.8,41.400000000000006
656,6010800202,2011,2012,8,2012-08-15,0.33,,0.447,575.0,10.3,8.36,0.788,0.011,0.032,46.9,195979.0,101383.0,24866.0,138456.0,43.9336066389999,-78.9618889811,484.0,41.0,201.0,0.4,35.2,141.4,3.0,96.0,2.4,45.0
4596,6008500402,2011,2013,10,10-22-2013,0.47,8.1,0.392,738.0,13.94,8.17,,0.012,0.038,131.0,0.0,0.0,0.0,0.0,43.80386488892999,-79.48313110660999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3235,6008301202,2011,2013,4,4-19-2013,0.83,25.9,1.44,2040.0,12.31,7.93,,0.044,0.047,501.0,0.0,0.0,0.0,0.0,43.67484451381,-79.50532260663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2519,6008300202,2011,2011,10,10-25-2011,1.01,32.9,2.27,537.0,14.05,7.86,,0.038,0.182,53.1,0.0,0.0,0.0,0.0,43.73686613887,-79.62831823174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583,17002113602,2016,2016,6,2016-06-13,,,0.23,530.0,10.07,8.53,0.86,0.015,0.032,45.1,0.0,0.0,0.0,0.0,44.2002268892999,-78.94943135609999,2086.0,0.0,768.0,0.0,12.4,82.6,7.6,42.8,0.0,36.8
5730,6009701102,2006,2008,6,6-25-2008,0.51,22.9,0.62,865.0,22.1,8.0,,0.068,0.112,321.0,0.0,0.0,0.0,0.0,43.81085851394,-79.15978098130999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6132,6009701802,2016,2016,5,5-16-2016,,3.0,,761.0,11.92,8.3,0.61,0.005,0.032,79.8,0.0,0.0,0.0,0.0,43.89673301402001,-79.32307035646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4634,6008500402,2006,2008,12,12-15-2008,1.27,110.0,0.72,3494.0,14.0,8.0,,0.039,0.22,897.0,0.0,0.0,0.0,0.0,43.80386488892999,-79.48313110660999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6903,6010700202,2016,2016,10,10-17-2016,0.47,2.0,0.055,1033.0,8.45,8.02,,0.011,0.0216,192.0,171066.0,136661.0,53361.0,123321.0,43.848318888970006,-78.99885435616,335.0,62.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130,6011200602,2016,2017,6,2017-06-21,,,0.471,573.0,,8.49,0.93,0.01,0.072,89.4,109516.0,45927.0,779.0,69395.0,43.911565263999904,-78.78870535599991,270.0,7.0,78.0,0.0,44.6,253.9,32.6,125.6,16.6,48.8
3038,6008300902,2006,2006,5,5-18-2006,,,,511.0,10.0,8.0,,,,,0.0,0.0,0.0,0.0,43.88810001401,-79.71795598183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,6008000702,2006,2004,11,11-22-2004,0.27,2.3,0.474,946.0,26.05,8.0,,0.009,0.019,236.0,0.0,0.0,0.0,0.0,43.67833163882,-79.67950823179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7694,West 12,2016,2018,6,2018-06-25,,9.3,,,,,,,0.065,336.0,5809.0,52578.0,3658.0,11079.0,43.863643975914606,-78.89203961905126,0.0,114.0,0.0,0.0,22.0,136.0,15.2,36.2,13.8,29.200000000000003
4592,6008500402,2006,2005,10,10-19-2005,,8.0,0.51,499.0,11.0,8.0,,0.0289999999999999,0.03,93.6,0.0,0.0,0.0,0.0,43.80386488892999,-79.48313110660999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4407,6008500302,2006,2008,11,11-18-2008,0.08,10.0,0.95,830.0,14.0,8.0,,0.023,0.06,109.0,0.0,0.0,0.0,0.0,43.80312626393,-79.39687998153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,3007703502,2016,2017,11,2017-11-29,,,2.84,675.0,12.37,8.35,3.2,0.02,0.022,70.7,0.0,0.0,0.0,0.0,44.1377576391999,-79.11259960629991,216.0,24.0,423.0,0.0,3.4,135.7,0.0,51.2,0.0,14.6
4347,6008310402,2001,2002,8,8-26-2002,0.71,3.3,0.055,,7.06,,,0.0069999999999999,0.063,37.6,0.0,0.0,0.0,0.0,43.92418126404,-79.83452048194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6848,6010403702,2016,2018,7,7-23-2018,1.05,13.0,0.43,713.0,8.65,8.09,,0.011,0.0822,94.5,0.0,0.0,0.0,0.0,43.93716151406,-79.20343035635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5410,6009700302,2016,2015,8,8-18-2015,0.55,4.0,0.17,981.0,4.75,8.16,,0.011,0.048,183.0,0.0,0.0,0.0,0.0,43.85845638898,-79.23325335638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3566,6008301802,2006,2006,9,9-20-2006,1.09,24.9,0.42,311.0,19.79,8.0,,0.008,0.084,97.7,0.0,0.0,0.0,0.0,43.92614413905,-79.80320748191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1341,6011600502,2016,2015,8,2015-08-05,,,0.361,455.0,9.56,8.31,,0.003,,12.3,123729.0,29819.0,725.0,133010.0,43.9698207641,-78.7474947309,321.0,0.0,133.0,0.0,31.6,317.8,31.6,141.4,2.4,123.6
2184,6008000702,2006,2006,7,7-18-2006,0.8,7.6,1.55,1934.0,21.75,8.0,,0.025,0.07,153.0,0.0,0.0,0.0,0.0,43.67833163882,-79.67950823179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7728,West 4,2016,2019,5,05-21-19,,1.4,,,,,,,0.006,34.7,67613.0,11008.0,6488.0,40242.0,43.99068971067136,-78.9781326843204,191.0,0.0,9.0,0.0,3.8,239.3,2.7,111.7,0.0,39.5
4743,6008500402,2006,2008,8,8-19-2008,0.84,8.0,0.57,1124.0,7.0,8.0,,0.018,0.05,246.0,0.0,0.0,0.0,0.0,43.80386488892999,-79.48313110660999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,6010800202,2001,2003,6,2003-06-11,0.39,,0.797,604.0,10.59,8.21,1.194,0.007,0.011,51.1,195979.0,101383.0,24866.0,138456.0,43.9336066389999,-78.9618889811,476.0,19.0,231.0,0.0,31.4,211.2,14.2,133.2,2.8,38.4
